geneID	anr1_(Pae_G1a)_2.CEL	anr2_(Pae_G1a).CEL	anr3_(Pae_G1a).CEL	WT1_(Pae_G1a).CEL	WT2_(Pae_G1a).CEL	WT3_(Pae_G1a).CEL
PA1739	6.2548683571253	6.203212771622657	6.325290871598824	6.472763045156063	6.31637887038081	6.523959435293566
PA1740	5.665567232991023	5.71618872181406	5.7504515855620335	6.442800639925615	5.9949722468221855	5.862040944492286
PA1741	8.069948175296304	8.129571742472484	8.136500390380707	7.439823298398098	8.083644561501032	7.69920152753086
PA1742	9.403580983018017	9.506957134111321	9.415959589321178	9.354040214291135	9.272134450310073	9.07955004146654
PA1743	5.746914530597112	5.75242660793404	5.921408284863997	5.419274678320019	5.158735193666406	5.0032350789272355
PA1744	7.021571135678317	6.930760260146998	6.822359985800002	6.785312123016614	6.3226237244633134	5.652217384810618
PA1745	6.294702077662691	6.184279709270627	6.318747050404435	6.022332390903547	6.232664231754092	6.009553425963033
PA1746	5.550905948306639	5.425529474582218	5.447997611908264	6.941321606678193	7.05825503795392	6.853695714427273
PA1747	7.0473519694616	6.7600585186110305	6.693839703133708	6.241945140009534	6.010591830612103	5.7751590989450445
PA1748	7.73384853550268	7.661726788855366	7.892835738950806	7.495563047523441	7.255986925192392	7.872809272425437
PA1749	8.666891304910743	8.551084513718083	8.682927594646277	8.59712404862952	8.679033423921569	8.44125904557945
PA1750	10.410726677857992	10.193730525495065	10.561949769236586	9.947566389903088	9.961965445297892	10.377374654509465
PA1751	6.479087420310271	6.336708434688592	6.492814005527658	6.733184730735482	6.614331393664843	6.302750397218562
PA1752	8.664843920856885	8.461661172165822	8.821118541576851	8.547838437124579	8.60858957054636	8.714216050564671
PA1753	7.634262428630193	7.709006674579495	7.528524214683194	7.14262986292462	7.557055317813803	7.45707543590717
PA1754	9.687756295834854	9.674287932195323	9.637926386537725	9.413849686377194	9.71726974138159	9.58247688027799
PA1755	7.420766629772332	7.315341958223485	7.5243827837561135	7.30799832793415	7.2895415861250745	7.262673490723243
PA1756	8.31873319001312	8.062564733209136	8.151299048358737	7.830705839620088	8.01645108640028	7.911130744394009
PA1757	7.989246420179146	7.857215928463862	8.100988868261783	7.903910922259103	7.822247338030216	7.818188690689859
PA1758	7.248970646077387	7.2472965628841495	7.238867222059786	6.826661133640741	6.881558214628181	7.113660101117101
PA1759	8.049415371211378	8.04429395624792	8.101455149059609	8.074741844424395	8.239726573064718	7.8958351659441846
PA1760	7.059183181719754	7.305242356473574	7.305468878740649	7.1438873812176675	7.3381495961430225	7.3740170205891005
PA1761	7.613381763037695	7.868230435566977	7.740655501515851	7.820584449386558	7.788468415895603	7.724685190684213
PA1762	6.643671707420863	6.852121838665727	6.641699466861925	7.306295794448318	7.080843853090431	6.956045706572534
PA1763	5.8894769831216776	6.049551407468403	6.1372673097659165	6.151395621402465	6.2411968104012585	5.834772498192567
PA1764	5.186301716356162	5.180486294868567	5.172076973090832	5.2616164094242635	5.0355933184063115	5.276357786772765
PA1765	6.016576917739256	5.933684535908161	5.985119217877476	5.90946295058378	5.807898077861439	5.803315591222786
PA1766	9.578621755362805	9.241074452987394	9.224673995568743	9.263505881243262	9.143439720492344	9.380376752736115
PA1767	9.81718771358356	9.700280336301123	9.672094128297243	8.884577039777806	9.27647959691011	9.21139658918763
PA1768	10.495750813031952	10.509426826948221	10.523408425625686	9.73697000030399	9.79572029542979	9.834297849118842
PA1769	8.951120818719229	8.86405600918342	8.785548335807539	8.06820222684093	8.400874035184739	8.334246710096139
PA1770	9.600479588070222	9.549574379350442	9.71065989917831	9.503354023384908	9.340638364253142	9.604338574593092
PA1771	6.8904116722406545	6.899992779878178	7.123062052920772	6.401576615947536	6.762793066554276	6.853044156490972
PA1772	9.126119584485208	9.084849259356893	9.081434943815246	9.011320023987862	9.285810656422552	8.837865672602145
PA1773	8.06762888605413	7.9685186942445725	8.157871191526523	7.705248397324382	8.128774745300332	7.9326430468191855
PA1774	8.226405460475714	8.375610180649183	8.424340180903563	8.069942432050222	8.08734786662756	7.902171656979561
PA1775	9.145382584556659	9.369844569460543	9.201255555584888	8.93987525380225	8.670105901338305	8.591785743944921
PA1776	9.36435815345595	9.337589409058378	9.60515825007774	9.074341075131542	9.134208310489683	8.91877902066706
PA1777	11.835188312071919	11.78947929124814	11.681433463720905	11.527080901506014	11.724370204824414	11.885983864789518
PA1778	5.891130626629641	5.7828462690940015	5.790689238116853	5.929472985810767	5.925668706222478	5.764522955971907
PA1779	5.147310828909726	4.987802012510468	5.053657929507002	5.144424849079705	5.3106642216947275	5.044768853324667
PA1780	5.959931369519174	5.720154110673822	5.91753936469238	5.677848006286084	5.702869460863661	5.768385201661981
PA1781	5.970638568620107	5.677634735862407	5.907600130212943	6.33524444697743	6.321938314425565	6.037476435754095
PA1782	5.9767457666609225	5.996762671905537	6.058749241439817	6.061174879064128	5.929803247944642	6.017704737349829
PA1783	5.45786361445929	5.370184165650347	5.417015284712971	6.259728182822348	5.396660256500729	5.355847141487985
PA1784	7.67620339140339	7.421467399351075	7.36037429172433	7.784141951082681	7.5235118866658155	7.12761052683943
PA1785	5.556371353408842	5.245878635263136	5.483559163702274	5.937789829206829	5.969690091869749	5.359897288457402
PA1786	7.710657994705383	7.077387668597066	7.1668077569102095	8.144522091127007	8.064714317262496	7.291494865457656
PA1787	11.278664282558015	11.075798961192614	11.160415038258453	10.799567210810718	11.06105759900532	11.324110586149958
PA1788	6.4904005609434705	6.22572579550154	6.481341808273749	5.731310835802124	6.051238835021091	6.436369628779189
PA1789	7.970667108776778	7.954675656840349	7.857233708032627	8.103002660470922	8.123153938925494	7.578982951323711
PA1790	6.642167104352445	6.701599329708967	6.917605674064765	6.247247635371882	6.369315372856635	6.312924720571517
PA1791	8.659973694764814	8.800997738857294	8.851586865696905	8.600486877948514	8.610290435490585	8.934808962697133
PA1792	9.297087328961227	9.338499840613663	9.280840075906315	8.769323161152768	9.000416058950805	9.267949885248958
PA1793	10.504466903180708	10.3904067737969	10.30504322791193	9.948413811233824	9.49703051403105	9.208066872111692
PA1794	9.631936397345294	9.494171958263106	9.495334189951905	9.130766806659958	9.361982492370075	9.409062018297774
PA1795	9.954888582442551	9.803404299227843	10.0519821578195	9.67080955094132	10.012887438269773	10.161414701032925
PA1796	9.003899782584007	8.928793421354612	8.958402582702538	8.24711480064622	8.1964183426406	8.55167375350037
PA1797	5.8413371211879515	5.692103300238653	5.864544808662467	6.222974739740649	6.185391772477283	6.060776750843556
PA1798	8.057538597861589	8.087130645779057	8.139664948320329	8.047442179199624	7.9262093711026775	8.112877464963056
PA1799	7.721886274175897	7.852698792258054	7.915828613323559	6.8795941909733775	7.122675508291539	7.0753897519937246
PA1800	12.100896870107544	11.910613235016399	12.049692089613618	11.576022850175256	11.625387311447893	11.607951698624678
PA1801	11.298555801731563	11.346963150663596	11.362078849142936	10.780685149255405	10.965202793409176	10.916452975826974
PA1802	10.464734485482486	10.271261899541768	10.219316527987772	9.942673016367287	10.189263687819217	10.215166695866344
PA1803	9.91406148638158	9.90029307097424	9.812472912960658	9.560007856168404	9.495456870404643	9.442729579332509
PA1804	10.545960370438536	10.50299164028497	10.468044916332481	10.758055136806613	10.673897548654109	10.383857448901196
PA1805	10.435484696636443	10.193542323859967	10.419362936469089	10.355455263615408	10.530058753619588	10.481774469091025
PA1806	8.077050436906774	8.125066344464072	7.953352340290632	8.560202995192085	8.665768093154982	8.35087206814157
PA1807	8.258708397579415	8.25988702522115	8.295249500563362	8.348387713424216	8.392111662739676	8.34784956705567
PA1808	8.080462605133928	8.394605607793796	8.119328173027931	7.717912370275206	7.687151196599287	7.889029794663234
PA1809	8.030002076130824	8.119100717347717	8.00481611853685	7.633895190668311	7.995326619794319	7.668169690212846
PA1810	7.739686226628436	7.670308297705082	7.73868765777463	7.496406142534129	7.924408896490901	7.226876772637223
PA1811	8.245451525769456	8.239189863941318	8.217769200654898	7.719407348442219	7.867674322308121	7.71283404502757
PA1812	10.82309891083468	11.063360192148815	10.939895996002202	10.307199996587872	10.199842090014279	10.481242905799853
PA1813	8.674624098576018	8.631680180982277	8.558211917717976	8.469850537537337	8.605630422727376	8.414899564420715
PA1814	8.091230128189064	8.07650960490807	8.122243979164013	8.716058204317614	8.738215051358969	8.416963289901489
PA1815	8.775854774990204	8.783128293578557	8.918236524657893	9.38187818922976	9.037930829095576	8.973739231881432
PA1816	8.68884869139014	8.720509969561476	8.746920721290365	8.59477147453303	8.551075428197132	8.798650534552042
PA1817	6.488451627696552	6.369624604736067	6.314557080138291	6.458439815158856	6.558648414067554	6.215706696184286
PA1818	9.75155362652776	9.68840558008727	9.75732676520387	9.357424439738068	9.401034531572744	9.561969776181485
PA1819	7.59618008222728	7.549880384931194	7.613898579270519	7.119591306208193	7.667837015822326	7.592688697279124
PA1820	6.469338260191325	6.468931935083992	6.39091503219675	6.26668012900503	6.169723522546273	6.372194045353884
PA1821	8.585743663595377	8.542013452006348	8.764003218313729	8.628363688904102	8.606704986120327	8.947360960658843
PA1822	7.811780314578989	7.64922196909882	7.729090027852816	7.645454007699939	7.846360889519788	7.9118417741222
PA1823	8.617926301171902	8.550443247358313	8.768944662607304	8.883317707641048	9.06663810717426	9.01526406260594
PA1824	5.859952430379358	5.927500947160702	5.890107719572892	5.664438557658793	5.738945094722397	5.778556523101643
PA1825	6.027280458447042	5.97926299435796	6.145218371247036	5.859427060045076	6.265610385699804	6.154297692648582
PA1826	6.134361422874804	6.007232908635552	6.270190594732159	6.372096841825904	6.475817230473874	6.1318322262619445
PA1827	6.206167963887685	6.077151007455848	6.249337937627233	6.216206498041144	6.265610385699804	6.326095915173961
PA1828	8.3046826700725	8.22035873395647	8.212315369552023	8.655901656470927	8.652940995144586	8.389377115325038
PA1829	8.360362361010665	8.393712241253013	8.318697848257422	7.861532436024461	7.7908685885723825	7.988402959063146
PA1830	9.514284892618907	9.403342709185953	9.47590757571866	8.45532161138626	8.615356910438239	7.971165652250344
PA1831	6.9915594783245485	7.005958948966987	6.757086229639645	6.547701287816783	6.717145506638381	6.631307301331271
PA1832	8.455757586461038	8.317518826072973	8.396809373724297	8.293957082774835	8.56624754198817	8.214808706470581
PA1833	7.997320752199702	8.015713746869967	7.9030935858352205	8.282225509472562	8.349781053611938	8.309883776561342
PA1834	5.934212780899086	5.8644713124801005	6.053287058697464	6.452398737510032	6.2174320886701935	6.0432525086017606
PA1835	6.716272302692819	6.693428582089836	6.750564667485516	6.939877444035573	6.604973109376367	6.531533894408113
PA1836	5.698519362338045	5.641752187086081	5.633815850972448	5.859472575541324	5.791712198917432	5.592926535314643
PA1837	7.821044959897069	7.531671674421826	7.617499224105245	8.328670300060558	7.96081933450855	7.761195615867317
PA1838	7.7993488293694835	7.583484921158646	7.774382461132223	8.133348964108366	7.70298294909465	7.6017412601833865
PA1839	7.366250715927132	7.420786863646003	7.516677805092705	7.607011442466964	7.5327486418588885	7.445832600940837
PA1840	8.445163157151772	8.402488876991534	8.685592699692094	8.14819598975173	8.018281756723988	7.990276962765908
PA1841	7.830362990546204	7.819109771460122	7.76848249904057	7.538199907918141	7.381464314160783	7.816264701127083
PA1842	7.321862751493185	7.157642249299854	7.071691446064398	7.179742230256492	7.169238841245505	7.119607726049617
PA1843	7.70540534186098	7.471847294289631	7.870466301101321	7.413142256484863	7.766655956112298	7.842674800199941
PA1844	6.009387676641959	6.069362114037332	6.018520340333449	6.608165946931756	6.476975090038109	6.263595127517741
PA1845	6.877219180404909	6.887711743394849	7.0898310101163755	7.102138533526506	7.049883138861532	7.467460770311849
PA1846	7.899656597048425	7.881636682481123	8.009760777135686	7.699824988410551	7.742127324815657	7.935197608793114
PA1847	9.857286454401043	9.838633451373902	9.693701472954416	9.658464952898715	9.553506206945004	9.284691507727588
PA1848	5.242708305855331	5.29599616935243	5.249186348759055	5.285743329593361	5.492431922385774	5.261544560227154
PA1849	5.604066364945783	5.600997297269265	5.562780477856432	5.852292642580162	5.581947771715996	5.673671120858109
PA1850	6.596896737244833	6.500826253372038	6.638481242830617	6.965612942839012	6.98920987572966	6.824825485997588
PA1851	5.480159981570022	5.532051894932602	5.615806806813207	5.880795690767946	5.805814082878708	5.553767190305303
PA1852	9.568246879816598	9.826323760036821	9.677067135537682	9.224074835350363	9.242309753984621	8.663924988831253
PA1853	6.629300419280206	6.543417792626096	6.574601127965146	6.272229840659439	6.3354279084264595	6.328146419485433
PA1854	5.993242224585469	6.015049762331178	5.912728441133183	5.703383823953418	5.502982255002266	5.938297266003845
PA1855	7.128616930637225	7.203359886002685	7.361320223850459	7.060459559676788	7.165383973961063	7.394199393228858
PA1856	4.607521667303635	4.628046553454236	4.724271624452343	4.708916663067416	4.715973494657721	4.618768004086886
PA1857	7.935310891145163	7.989497527926446	7.985664362705913	7.425545625120355	7.965115752962068	7.687887673908011
PA1858	6.438539674238969	6.407125771921002	6.424828189029586	6.461743933018219	6.688526605897865	6.599335459143273
PA1859	5.970710995988804	6.153164894078221	5.974232169445928	5.869460222455339	5.731036414665224	5.576782686920723
PA1860	6.409921552052615	6.400461839079299	6.3145160628066215	6.919819131012468	6.698822931524768	6.747191593661633
PA1861	7.214153849721958	7.223628961879861	7.285904264361504	6.531202951998175	7.130148634288532	7.189524610761633
PA1862	7.653598138759309	7.563025436489735	7.571227719271067	6.836948172581595	7.329360468174222	7.572984840045747
PA1863	7.299026111015328	7.318565857210084	7.2622909901277035	7.003184826554027	6.644337757834066	6.601921568737392
PA1864	5.669431877496224	5.717362306367258	5.648688108860687	6.099885072906614	5.674854756054229	6.053705293418851
PA1865	7.077127266782258	7.093854911516827	7.145724859002103	7.008732721289741	6.921307629349423	7.099100067523331
PA1866	6.512275603432366	6.4351125450482405	6.588986388034128	6.894342017368718	6.899801699589841	6.531184385288267
PA1867	5.190673192324059	5.242078157884558	5.18344012184744	5.696893734444069	5.441581302884043	5.2107346387956435
PA1868	6.524189805133778	6.602842841118292	6.638654203962757	7.048697897556009	7.054253814246509	6.841183661924909
PA1869	6.4067548478190695	6.526398926971404	6.273659213864116	8.426280118183847	8.2951005386546	8.078220748168551
PA1870	5.2392841934931464	5.313078338124889	5.284258180828841	5.517524217215778	5.260649071761234	5.330403494117284
PA1871	5.57781699794416	5.525705587750323	5.555791164449907	6.213273276340273	6.0996717212886775	5.936231061374325
PA1872	8.084119309267596	8.104669097675526	8.13627485145659	8.12372757202699	7.978581626694654	7.808963827857273
PA1873	6.4474081694037375	6.501156126906798	6.47341721148534	6.825269254460905	6.755635193183279	6.848507720149156
PA1874	6.269302993870772	6.359928170136017	6.290179239710424	6.652931473986683	6.834294959270652	6.305378038063184
PA1875	5.799082488294621	5.964746482508314	6.0016781811616955	5.837313744520017	5.749446517314791	5.954344163034293
PA1876	5.977111637929294	5.8818595782718734	5.772926883006587	5.986983709094149	6.141813895249652	6.251531384640501
PA1877	6.100672388717893	6.000400650222252	6.102294737884074	6.3622970969486365	6.4128754984254766	6.155444157865311
PA1878	7.150584927567776	7.177938950683203	7.203226748067431	7.225285099620146	7.093411792705346	7.165630485352345
PA1879	6.852505180654886	6.907073422776663	6.925127165586342	6.838101517854038	6.808745584049752	7.074702233882168
PA1880	7.10817295032389	7.054800065485914	7.124809614309645	7.447139972804653	7.394017675491563	7.496500304668651
PA1881	6.41095944525279	6.415426015036886	6.423199455921012	6.8500216723505165	6.723238435351832	6.476257337661294
PA1882	6.5348631157469255	6.792603504241613	6.486481951477393	6.828336596895552	6.4576654692461	6.481473256663942
PA1883	5.432841246494681	5.450556750941501	5.50603823531964	5.689534622933281	5.557317764146104	5.635278209930929
PA1884	5.342036088051507	5.294123540138204	5.214510763166872	5.73749356633723	5.1470603401115795	5.607280428723556
PA1885	5.691038985227321	5.765629805474447	5.75631384504692	5.497111319425679	5.959702558323484	5.841215024551596
PA1886	6.211299284017571	6.1561464562807116	6.28651389859044	5.768650838567401	6.053718545140082	6.100896797777898
PA1887	5.707319407350143	5.715119343064905	5.943866463761354	5.707368318103649	5.697054836255164	5.5958043411057705
PA1888	5.199044637091425	5.2218455258870415	5.256359942305608	5.249128579009332	5.0044520407437485	5.199744764235351
PA1889	7.1308372436404275	7.131799699720589	7.092077564091408	6.966964613588624	6.925890385943573	6.989362358028259
PA1890	7.341658785895852	7.243360136327725	7.262268979689926	7.38009328759486	7.436810421279846	7.411964401203495
PA1891	6.506910541450633	6.483573922539356	6.4234612447693955	6.978146882547586	6.956592769069489	7.308812660814549
PA1892	7.356895197811133	7.224859808347372	7.090590984045188	7.205510675454262	7.725808893058932	7.70545312551805
PA1893	7.964080616022849	7.812006627481136	7.790657543149807	8.554170918204075	8.644552287656527	8.940882792256328
PA1894	9.145918159065635	8.984370876333195	8.995296562124125	9.456619880422302	9.757850140739148	9.791380447277195
PA1895	8.11196810533183	8.154295824962876	7.886886928412008	8.780556409066786	9.10463044209936	8.821285381453187
PA1896	8.145551913563478	7.993781331237671	8.055262648220866	8.470636630253095	8.589448839790053	8.752494196483392
PA1897	9.102001295407826	9.022710717442335	9.078649708447253	9.337727208795714	9.998876002138129	9.700560874909652
PA1898	7.208870325611196	7.1140445501656	7.225658653194829	7.724374075828521	7.863850308673429	7.609288173200587
PA1901	8.262302838687138	8.290457422351935	8.274506901443624	9.151674925818932	8.862802227909304	9.102404329062697
PA1902	5.689831201094821	5.767525952284636	5.803105296034709	7.1024918078237445	6.68979960733402	6.611684459375041
PA1903	6.010707276520269	6.166840819110554	6.223026893757791	7.6428791465308485	7.073199465814587	6.952943240253138
PA1904	5.530887990338128	5.745775096330606	5.736882186037931	6.717374951132203	6.34971517602804	6.5165339834084115
PA1905	6.454076898092651	6.400334559784166	6.451557058563446	7.817826202695804	7.612145037718639	7.321585067806401
PA1906	6.1419968523576545	6.144929677893103	6.343164173823833	6.335189912625697	6.180655831165119	6.1249238594642215
PA1907	4.692083343504291	4.729373639268662	4.673053276968791	4.615171749044332	4.664294414109025	4.82249656812577
PA1908	5.800379013484008	5.889259024166776	5.877753678359463	6.147285498682981	6.251869703468744	6.1094045328622535
PA1909	5.344314187558474	5.433901188685693	5.322593641641388	5.634343960292918	5.541535992449951	5.541984031315664
PA1910	5.5024588984739164	5.57772442329718	5.541029025672788	5.559144314227472	5.546647706005433	5.584838553111674
PA1911	5.950636726826249	5.917522948269846	5.951678086118443	6.326839344269754	6.135847224181546	6.1579498129291235
PA1912	6.352352412263347	6.417233092199146	6.422524064381523	6.3760945760655705	6.248462085263904	6.222553839647899
PA1913	7.5387938586627365	7.483491919572729	7.588003877287602	6.994106431693394	7.282203366180086	7.376433508227763
PA1914	5.390400146858701	5.425447755123976	5.529615996396764	5.519449111969578	5.751039469899318	5.558448967244518
PA1915	6.290984226394464	6.308339590329852	6.269497893657684	6.590418659804666	6.305807373835597	6.646271186608553
PA1916	6.463159283783398	6.417473309579625	6.432409900603451	7.088135933356169	6.852581366704709	6.387658815719709
PA1917	4.904565797214523	4.77688361713176	4.840612403494456	5.045663961821544	5.194778888276626	4.988268453931638
PA1918	5.387052891087787	5.4311245522366685	5.416642663396507	5.616655506543865	5.574420096553831	5.661050514604434
PA1919	5.497163980668103	5.36604256868871	5.549315340607709	5.811984147789005	5.55077516416636	5.562659151532914
PA1920	6.194463558074412	5.897912304074667	6.180049318424967	6.6428335347495535	6.122358558367125	6.31283274108869
PA1921	7.085516074136341	5.96460240424067	6.795224412040288	7.1999476621831615	6.607879701286957	7.16056315036203
PA1922	9.059826910908917	7.6352057384532905	8.902032111355236	8.961575681700714	8.787023191552386	9.250401842457466
PA1923	9.425905736144548	8.605530426794084	9.38006272408374	9.623648067236234	9.368140813426844	9.829867712904274
PA1924	9.22236972455226	8.545724483392128	8.913589282165798	9.105086527064444	9.014579313107557	9.537329768518427
PA1925	9.962765068863524	9.21471029979074	9.852384626941493	10.020416712011816	9.80826320734489	9.985532043775988
PA1926	8.103056825235699	7.995554107707476	8.108471760349415	7.925657747774796	7.8761509469286075	8.177985932662905
PA1927	4.867970464457841	4.899297444338989	5.014065810329889	5.088348529446345	4.878046389434892	5.047702476569876
PA1928	6.96795544987747	6.887904921140135	7.07562670417698	8.105770181949607	7.6325399860148515	7.382773427267667
PA1929	5.896460752471717	5.682199822429498	5.768145273587787	6.086925052336571	5.77818877288638	5.5356407500533376
PA1930	5.167860751214085	5.13782862797461	5.165098974241946	5.241309224452033	4.992369789691587	5.1579923606631635
PA1931	5.686944133289522	5.557676797889628	5.643464674061748	5.9771772618796195	5.7480506317741185	5.683254794530026
PA1932	5.815024883799255	5.774359305802953	5.830221067138952	5.918451054464449	6.078137618236206	5.9177298246198
PA1933	6.607917929928506	6.513349497395131	6.507092940518398	6.69203638405697	6.578440018710152	6.754185918014073
